param_trial_134: mean reward 22.2483, mean std_error 1.1663256596736706
param_trial_135: mean reward 42.703824999999995, mean std_error 7.0515098920318975
param_trial_136: mean reward 39.5347, mean std_error 8.548964591019637
param_trial_137: mean reward 33.333975, mean std_error 5.7300159496769645
param_trial_138: mean reward 38.697525, mean std_error 9.584902671332605
param_trial_139: mean reward 33.893225, mean std_error 9.267552940978184
param_trial_140: mean reward 42.076674999999994, mean std_error 7.525016791440565
param_trial_141: mean reward 33.552550000000004, mean std_error 6.434417379315736
param_trial_142: mean reward 22.549525000000003, mean std_error 3.4198987390694278
param_trial_143: mean reward 42.82042500000001, mean std_error 7.610604042770472
param_trial_144: mean reward 22.2778, mean std_error 1.1746618514247296
param_trial_145: mean reward 22.193549999999995, mean std_error 1.1507989097178233
param_trial_146: mean reward 22.261374999999997, mean std_error 1.1662217123919552
param_trial_147: mean reward 41.341875, mean std_error 8.229750128463708
param_trial_148: mean reward 31.93215, mean std_error 5.3174153944655425
param_trial_149: mean reward 41.834575, mean std_error 7.958412982026934
param_trial_150: mean reward 38.517275, mean std_error 7.754002404159016
param_trial_151: mean reward 29.589575, mean std_error 5.545503634685888
param_trial_152: mean reward 39.8998, mean std_error 9.242132057636288
param_trial_153: mean reward 35.02515, mean std_error 6.5136137103771645
param_trial_154: mean reward 37.407174999999995, mean std_error 6.4682455172487945
param_trial_155: mean reward 40.1904, mean std_error 9.790738409770814
param_trial_156: mean reward 22.2241, mean std_error 1.1565570235150096
param_trial_157: mean reward 22.20245, mean std_error 1.1528935839733312
param_trial_158: mean reward 22.28715, mean std_error 1.1791847182195958
param_trial_159: mean reward 39.168375, mean std_error 7.3700914334709955
param_trial_160: mean reward 41.551425, mean std_error 7.621809784822651
param_trial_161: mean reward 45.55915, mean std_error 7.841299841196921
param_trial_162: mean reward 39.244724999999995, mean std_error 8.708850741561855
param_trial_163: mean reward 29.214274999999997, mean std_error 5.344305697949615
param_trial_164: mean reward 31.33605, mean std_error 5.671729392095935
param_trial_165: mean reward 27.09855, mean std_error 5.5830647376162865
param_trial_166: mean reward 42.409575000000004, mean std_error 8.237295341261316
param_trial_167: mean reward 42.536275, mean std_error 7.262637859326087
param_trial_168: mean reward 22.349475, mean std_error 1.1678417630933369
param_trial_169: mean reward 22.231325, mean std_error 1.1638876801581375
param_trial_170: mean reward 22.174474999999997, mean std_error 1.153614504219617
param_trial_171: mean reward 26.466974999999998, mean std_error 4.456527233581479
param_trial_172: mean reward 28.595750000000002, mean std_error 6.053106450871969
param_trial_173: mean reward 34.29035, mean std_error 6.964899379399449
param_trial_174: mean reward 32.941275, mean std_error 5.590000698863604
param_trial_175: mean reward 32.762525, mean std_error 6.027359627670808
param_trial_176: mean reward 51.90625, mean std_error 11.568802419467227
param_trial_177: mean reward 44.52975000000001, mean std_error 8.311281050558712
param_trial_178: mean reward 38.425475, mean std_error 7.044578568207434
param_trial_179: mean reward 46.108374999999995, mean std_error 8.985257470710973
param_trial_180: mean reward 22.254075000000004, mean std_error 1.179560656307486
param_trial_181: mean reward 22.268375000000002, mean std_error 1.1591435902676595
param_trial_182: mean reward 22.343125, mean std_error 1.1756515402178462
param_trial_183: mean reward 38.985675, mean std_error 7.627455407967284
param_trial_184: mean reward 32.127825, mean std_error 5.046264098454841
param_trial_185: mean reward 40.541125, mean std_error 7.559180924468085
param_trial_186: mean reward 35.971975, mean std_error 8.282111282316265
param_trial_187: mean reward 36.86955, mean std_error 7.686957354748558
param_trial_188: mean reward 36.61085, mean std_error 8.84346450881343
param_trial_189: mean reward 35.166799999999995, mean std_error 6.5917948896653105
param_trial_190: mean reward 33.2024, mean std_error 7.025299213332016
param_trial_191: mean reward 31.108125, mean std_error 5.690185348987109
param_trial_192: mean reward 22.3271, mean std_error 1.1709760214766556
param_trial_193: mean reward 22.265874999999998, mean std_error 1.176071279223722
param_trial_194: mean reward 22.289524999999998, mean std_error 1.1633010605838172
param_trial_195: mean reward 39.858900000000006, mean std_error 6.419849343755557
