trial,tsetlin_number_of_clauses,tsetlin_T,tsetlin_s,tsetlin_states,tsetlin_max_target,tsetlin_min_target,min_epsilon,epsilon_decay,num_bins,log_bins
124,10000,5000000,2.5,25,300,0,0.001,0.0004,8,False
125,14000,5000000,2.5,25,300,0,0.001,0.0004,8,False
126,6000,20000000,2.5,25,300,0,0.001,0.0004,8,False
127,10000,20000000,2.5,25,300,0,0.001,0.0004,8,False
128,14000,20000000,2.5,25,300,0,0.001,0.0004,8,False
129,6000,40000000,2.5,25,300,0,0.001,0.0004,8,False
130,10000,40000000,2.5,25,300,0,0.001,0.0004,8,False
131,14000,40000000,2.5,25,300,0,0.001,0.0004,8,False
132,6000,100000,2.5,100,300,0,0.001,0.0004,8,False
133,10000,100000,2.5,100,300,0,0.001,0.0004,8,False
134,14000,100000,2.5,100,300,0,0.001,0.0004,8,False
135,6000,5000000,2.5,100,300,0,0.001,0.0004,8,False
136,10000,5000000,2.5,100,300,0,0.001,0.0004,8,False
137,14000,5000000,2.5,100,300,0,0.001,0.0004,8,False
138,6000,20000000,2.5,100,300,0,0.001,0.0004,8,False
139,10000,20000000,2.5,100,300,0,0.001,0.0004,8,False
140,14000,20000000,2.5,100,300,0,0.001,0.0004,8,False
141,6000,40000000,2.5,100,300,0,0.001,0.0004,8,False
142,10000,40000000,2.5,100,300,0,0.001,0.0004,8,False
143,14000,40000000,2.5,100,300,0,0.001,0.0004,8,False
144,6000,100000,2.5,4,300,0,0.01,0.0008,8,False
145,10000,100000,2.5,4,300,0,0.01,0.0008,8,False
146,14000,100000,2.5,4,300,0,0.01,0.0008,8,False
147,6000,5000000,2.5,4,300,0,0.01,0.0008,8,False
148,10000,5000000,2.5,4,300,0,0.01,0.0008,8,False
149,14000,5000000,2.5,4,300,0,0.01,0.0008,8,False
150,6000,20000000,2.5,4,300,0,0.01,0.0008,8,False
151,10000,20000000,2.5,4,300,0,0.01,0.0008,8,False
152,14000,20000000,2.5,4,300,0,0.01,0.0008,8,False
153,6000,40000000,2.5,4,300,0,0.01,0.0008,8,False
154,10000,40000000,2.5,4,300,0,0.01,0.0008,8,False
155,14000,40000000,2.5,4,300,0,0.01,0.0008,8,False
156,6000,100000,2.5,8,300,0,0.01,0.0008,8,False
157,10000,100000,2.5,8,300,0,0.01,0.0008,8,False
158,14000,100000,2.5,8,300,0,0.01,0.0008,8,False
159,6000,5000000,2.5,8,300,0,0.01,0.0008,8,False
160,10000,5000000,2.5,8,300,0,0.01,0.0008,8,False
161,14000,5000000,2.5,8,300,0,0.01,0.0008,8,False
162,6000,20000000,2.5,8,300,0,0.01,0.0008,8,False
163,10000,20000000,2.5,8,300,0,0.01,0.0008,8,False
164,14000,20000000,2.5,8,300,0,0.01,0.0008,8,False
165,6000,40000000,2.5,8,300,0,0.01,0.0008,8,False
166,10000,40000000,2.5,8,300,0,0.01,0.0008,8,False
167,14000,40000000,2.5,8,300,0,0.01,0.0008,8,False
168,6000,100000,2.5,25,300,0,0.01,0.0008,8,False
169,10000,100000,2.5,25,300,0,0.01,0.0008,8,False
170,14000,100000,2.5,25,300,0,0.01,0.0008,8,False
171,6000,5000000,2.5,25,300,0,0.01,0.0008,8,False
172,10000,5000000,2.5,25,300,0,0.01,0.0008,8,False
173,14000,5000000,2.5,25,300,0,0.01,0.0008,8,False
174,6000,20000000,2.5,25,300,0,0.01,0.0008,8,False
175,10000,20000000,2.5,25,300,0,0.01,0.0008,8,False
176,14000,20000000,2.5,25,300,0,0.01,0.0008,8,False
177,6000,40000000,2.5,25,300,0,0.01,0.0008,8,False
178,10000,40000000,2.5,25,300,0,0.01,0.0008,8,False
179,14000,40000000,2.5,25,300,0,0.01,0.0008,8,False
180,6000,100000,2.5,100,300,0,0.01,0.0008,8,False
181,10000,100000,2.5,100,300,0,0.01,0.0008,8,False
182,14000,100000,2.5,100,300,0,0.01,0.0008,8,False
183,6000,5000000,2.5,100,300,0,0.01,0.0008,8,False
184,10000,5000000,2.5,100,300,0,0.01,0.0008,8,False
185,14000,5000000,2.5,100,300,0,0.01,0.0008,8,False
186,6000,20000000,2.5,100,300,0,0.01,0.0008,8,False
187,10000,20000000,2.5,100,300,0,0.01,0.0008,8,False
188,14000,20000000,2.5,100,300,0,0.01,0.0008,8,False
189,6000,40000000,2.5,100,300,0,0.01,0.0008,8,False
190,10000,40000000,2.5,100,300,0,0.01,0.0008,8,False
191,14000,40000000,2.5,100,300,0,0.01,0.0008,8,False
192,6000,100000,2.5,4,300,0,0.004,0.0008,8,False
193,10000,100000,2.5,4,300,0,0.004,0.0008,8,False
194,14000,100000,2.5,4,300,0,0.004,0.0008,8,False
195,6000,5000000,2.5,4,300,0,0.004,0.0008,8,False
196,10000,5000000,2.5,4,300,0,0.004,0.0008,8,False
197,14000,5000000,2.5,4,300,0,0.004,0.0008,8,False
198,6000,20000000,2.5,4,300,0,0.004,0.0008,8,False
199,10000,20000000,2.5,4,300,0,0.004,0.0008,8,False
200,14000,20000000,2.5,4,300,0,0.004,0.0008,8,False
201,6000,40000000,2.5,4,300,0,0.004,0.0008,8,False
202,10000,40000000,2.5,4,300,0,0.004,0.0008,8,False
203,14000,40000000,2.5,4,300,0,0.004,0.0008,8,False
204,6000,100000,2.5,8,300,0,0.004,0.0008,8,False
205,10000,100000,2.5,8,300,0,0.004,0.0008,8,False
206,14000,100000,2.5,8,300,0,0.004,0.0008,8,False
207,6000,5000000,2.5,8,300,0,0.004,0.0008,8,False
208,10000,5000000,2.5,8,300,0,0.004,0.0008,8,False
209,14000,5000000,2.5,8,300,0,0.004,0.0008,8,False
210,6000,20000000,2.5,8,300,0,0.004,0.0008,8,False
211,10000,20000000,2.5,8,300,0,0.004,0.0008,8,False
212,14000,20000000,2.5,8,300,0,0.004,0.0008,8,False
213,6000,40000000,2.5,8,300,0,0.004,0.0008,8,False
214,10000,40000000,2.5,8,300,0,0.004,0.0008,8,False
215,14000,40000000,2.5,8,300,0,0.004,0.0008,8,False
216,6000,100000,2.5,25,300,0,0.004,0.0008,8,False
217,10000,100000,2.5,25,300,0,0.004,0.0008,8,False
218,14000,100000,2.5,25,300,0,0.004,0.0008,8,False
219,6000,5000000,2.5,25,300,0,0.004,0.0008,8,False
220,10000,5000000,2.5,25,300,0,0.004,0.0008,8,False
221,14000,5000000,2.5,25,300,0,0.004,0.0008,8,False
222,6000,20000000,2.5,25,300,0,0.004,0.0008,8,False
223,10000,20000000,2.5,25,300,0,0.004,0.0008,8,False
224,14000,20000000,2.5,25,300,0,0.004,0.0008,8,False
225,6000,40000000,2.5,25,300,0,0.004,0.0008,8,False
226,10000,40000000,2.5,25,300,0,0.004,0.0008,8,False
227,14000,40000000,2.5,25,300,0,0.004,0.0008,8,False
228,6000,100000,2.5,100,300,0,0.004,0.0008,8,False
229,10000,100000,2.5,100,300,0,0.004,0.0008,8,False
230,14000,100000,2.5,100,300,0,0.004,0.0008,8,False
231,6000,5000000,2.5,100,300,0,0.004,0.0008,8,False
232,10000,5000000,2.5,100,300,0,0.004,0.0008,8,False
233,14000,5000000,2.5,100,300,0,0.004,0.0008,8,False
234,6000,20000000,2.5,100,300,0,0.004,0.0008,8,False
235,10000,20000000,2.5,100,300,0,0.004,0.0008,8,False
236,14000,20000000,2.5,100,300,0,0.004,0.0008,8,False
237,6000,40000000,2.5,100,300,0,0.004,0.0008,8,False
238,10000,40000000,2.5,100,300,0,0.004,0.0008,8,False
239,14000,40000000,2.5,100,300,0,0.004,0.0008,8,False
240,6000,100000,2.5,4,300,0,0.001,0.0008,8,False
241,10000,100000,2.5,4,300,0,0.001,0.0008,8,False
242,14000,100000,2.5,4,300,0,0.001,0.0008,8,False
243,6000,5000000,2.5,4,300,0,0.001,0.0008,8,False
244,10000,5000000,2.5,4,300,0,0.001,0.0008,8,False
245,14000,5000000,2.5,4,300,0,0.001,0.0008,8,False
246,6000,20000000,2.5,4,300,0,0.001,0.0008,8,False
247,10000,20000000,2.5,4,300,0,0.001,0.0008,8,False
248,14000,20000000,2.5,4,300,0,0.001,0.0008,8,False
249,6000,40000000,2.5,4,300,0,0.001,0.0008,8,False
250,10000,40000000,2.5,4,300,0,0.001,0.0008,8,False
251,14000,40000000,2.5,4,300,0,0.001,0.0008,8,False
252,6000,100000,2.5,8,300,0,0.001,0.0008,8,False
253,10000,100000,2.5,8,300,0,0.001,0.0008,8,False
254,14000,100000,2.5,8,300,0,0.001,0.0008,8,False
255,6000,5000000,2.5,8,300,0,0.001,0.0008,8,False
256,10000,5000000,2.5,8,300,0,0.001,0.0008,8,False
257,14000,5000000,2.5,8,300,0,0.001,0.0008,8,False
258,6000,20000000,2.5,8,300,0,0.001,0.0008,8,False
259,10000,20000000,2.5,8,300,0,0.001,0.0008,8,False
260,14000,20000000,2.5,8,300,0,0.001,0.0008,8,False
261,6000,40000000,2.5,8,300,0,0.001,0.0008,8,False
262,10000,40000000,2.5,8,300,0,0.001,0.0008,8,False
263,14000,40000000,2.5,8,300,0,0.001,0.0008,8,False
264,6000,100000,2.5,25,300,0,0.001,0.0008,8,False
265,10000,100000,2.5,25,300,0,0.001,0.0008,8,False
266,14000,100000,2.5,25,300,0,0.001,0.0008,8,False
267,6000,5000000,2.5,25,300,0,0.001,0.0008,8,False
268,10000,5000000,2.5,25,300,0,0.001,0.0008,8,False
269,14000,5000000,2.5,25,300,0,0.001,0.0008,8,False
270,6000,20000000,2.5,25,300,0,0.001,0.0008,8,False
271,10000,20000000,2.5,25,300,0,0.001,0.0008,8,False
272,14000,20000000,2.5,25,300,0,0.001,0.0008,8,False
273,6000,40000000,2.5,25,300,0,0.001,0.0008,8,False
274,10000,40000000,2.5,25,300,0,0.001,0.0008,8,False
275,14000,40000000,2.5,25,300,0,0.001,0.0008,8,False
276,6000,100000,2.5,100,300,0,0.001,0.0008,8,False
277,10000,100000,2.5,100,300,0,0.001,0.0008,8,False
278,14000,100000,2.5,100,300,0,0.001,0.0008,8,False
279,6000,5000000,2.5,100,300,0,0.001,0.0008,8,False
280,10000,5000000,2.5,100,300,0,0.001,0.0008,8,False
281,14000,5000000,2.5,100,300,0,0.001,0.0008,8,False
282,6000,20000000,2.5,100,300,0,0.001,0.0008,8,False
283,10000,20000000,2.5,100,300,0,0.001,0.0008,8,False
284,14000,20000000,2.5,100,300,0,0.001,0.0008,8,False
285,6000,40000000,2.5,100,300,0,0.001,0.0008,8,False
286,10000,40000000,2.5,100,300,0,0.001,0.0008,8,False
287,14000,40000000,2.5,100,300,0,0.001,0.0008,8,False
288,6000,100000,2.5,4,300,0,0.01,0.0016,8,False
289,10000,100000,2.5,4,300,0,0.01,0.0016,8,False
290,14000,100000,2.5,4,300,0,0.01,0.0016,8,False
291,6000,5000000,2.5,4,300,0,0.01,0.0016,8,False
292,10000,5000000,2.5,4,300,0,0.01,0.0016,8,False
293,14000,5000000,2.5,4,300,0,0.01,0.0016,8,False
294,6000,20000000,2.5,4,300,0,0.01,0.0016,8,False
295,10000,20000000,2.5,4,300,0,0.01,0.0016,8,False
296,14000,20000000,2.5,4,300,0,0.01,0.0016,8,False
297,6000,40000000,2.5,4,300,0,0.01,0.0016,8,False
298,10000,40000000,2.5,4,300,0,0.01,0.0016,8,False
299,14000,40000000,2.5,4,300,0,0.01,0.0016,8,False
300,6000,100000,2.5,8,300,0,0.01,0.0016,8,False
301,10000,100000,2.5,8,300,0,0.01,0.0016,8,False
302,14000,100000,2.5,8,300,0,0.01,0.0016,8,False
303,6000,5000000,2.5,8,300,0,0.01,0.0016,8,False
304,10000,5000000,2.5,8,300,0,0.01,0.0016,8,False
305,14000,5000000,2.5,8,300,0,0.01,0.0016,8,False
306,6000,20000000,2.5,8,300,0,0.01,0.0016,8,False
307,10000,20000000,2.5,8,300,0,0.01,0.0016,8,False
308,14000,20000000,2.5,8,300,0,0.01,0.0016,8,False
309,6000,40000000,2.5,8,300,0,0.01,0.0016,8,False
310,10000,40000000,2.5,8,300,0,0.01,0.0016,8,False
311,14000,40000000,2.5,8,300,0,0.01,0.0016,8,False
312,6000,100000,2.5,25,300,0,0.01,0.0016,8,False
313,10000,100000,2.5,25,300,0,0.01,0.0016,8,False
314,14000,100000,2.5,25,300,0,0.01,0.0016,8,False
315,6000,5000000,2.5,25,300,0,0.01,0.0016,8,False
316,10000,5000000,2.5,25,300,0,0.01,0.0016,8,False
317,14000,5000000,2.5,25,300,0,0.01,0.0016,8,False
318,6000,20000000,2.5,25,300,0,0.01,0.0016,8,False
319,10000,20000000,2.5,25,300,0,0.01,0.0016,8,False
320,14000,20000000,2.5,25,300,0,0.01,0.0016,8,False
321,6000,40000000,2.5,25,300,0,0.01,0.0016,8,False
322,10000,40000000,2.5,25,300,0,0.01,0.0016,8,False
323,14000,40000000,2.5,25,300,0,0.01,0.0016,8,False
324,6000,100000,2.5,100,300,0,0.01,0.0016,8,False
325,10000,100000,2.5,100,300,0,0.01,0.0016,8,False
326,14000,100000,2.5,100,300,0,0.01,0.0016,8,False
327,6000,5000000,2.5,100,300,0,0.01,0.0016,8,False
328,10000,5000000,2.5,100,300,0,0.01,0.0016,8,False
329,14000,5000000,2.5,100,300,0,0.01,0.0016,8,False
330,6000,20000000,2.5,100,300,0,0.01,0.0016,8,False
331,10000,20000000,2.5,100,300,0,0.01,0.0016,8,False
332,14000,20000000,2.5,100,300,0,0.01,0.0016,8,False
333,6000,40000000,2.5,100,300,0,0.01,0.0016,8,False
334,10000,40000000,2.5,100,300,0,0.01,0.0016,8,False
335,14000,40000000,2.5,100,300,0,0.01,0.0016,8,False
336,6000,100000,2.5,4,300,0,0.004,0.0016,8,False
337,10000,100000,2.5,4,300,0,0.004,0.0016,8,False
338,14000,100000,2.5,4,300,0,0.004,0.0016,8,False
